City,Date,Price
Zurich,2 June 2025,"1,030"
Zurich,3 June 2025,819 PLN
Zurich,4 June 2025,656 PLN
Zurich,5 June 2025,707 PLN
Zurich,6 June 2025,596 PLN
Zurich,7 June 2025,707 PLN
Zurich,8 June 2025,729 PLN
Zurich,9 June 2025,707 PLN
Zurich,10 June 2025,707 PLN
Zurich,11 June 2025,596 PLN
Zurich,12 June 2025,707 PLN
Zurich,13 June 2025,707 PLN
Zurich,14 June 2025,707 PLN
Zurich,15 June 2025,707 PLN
Zurich,16 June 2025,742 PLN
Zurich,17 June 2025,742 PLN
Zurich,18 June 2025,875 PLN
Zurich,19 June 2025,763 PLN
Zurich,20 June 2025,596 PLN
Zurich,21 June 2025,742 PLN
Zurich,22 June 2025,829 PLN
Zurich,23 June 2025,742 PLN
Zurich,24 June 2025,707 PLN
Zurich,25 June 2025,707 PLN
Zurich,26 June 2025,742 PLN
Zurich,27 June 2025,707 PLN
Zurich,28 June 2025,707 PLN
Zurich,29 June 2025,829 PLN
Zurich,30 June 2025,596 PLN
